SeriesDescription,GeoAreaName,TimePeriod,Value,Source,[Age],[Sex]
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2006,42.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2006,35.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2006,36.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2006,36.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2006,37.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2006,37.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2006,38,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2006,40.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2006,41.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2007,39.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2007,36.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2007,36.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2007,40.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2007,41.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2007,34.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2007,35,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2007,35.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2007,36.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2008,35.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2008,35.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2008,34.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2008,38.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2008,35.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2008,39.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2008,40.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2008,33.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2008,33.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2009,33.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2009,34,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2009,38.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2009,37.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2009,34.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2009,38.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2009,31.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2009,32.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2009,33.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2010,32.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2010,32.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2010,32.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2010,35.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2010,36.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2010,37.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2010,30.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2010,30.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2010,31.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2011,31.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2011,34.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2011,35.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2011,35.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2011,31.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2011,28.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2011,29.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2011,30.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2011,30.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2012,29.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2012,30.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2012,34.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2012,34.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2012,30.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2012,33.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2012,27.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2012,28.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2012,29.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2013,28.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2013,29,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2013,27.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2013,34.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2013,29.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2013,29.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2013,30.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2013,34,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2013,33.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2014,32.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2014,33.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2014,33.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2014,26.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2014,28.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2014,28.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2014,28.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2014,29.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2014,27.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2015,33.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2015,25.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2015,26.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2015,27.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2015,27.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2015,28.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2015,28.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2015,32.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2015,32.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2016,25.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2016,26.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2016,27.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2016,31.8,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2016,28.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2016,27.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2016,27.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2016,32.3,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2016,32.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2017,26.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2017,25.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2017,26.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2017,27.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2017,27.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2017,31.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2017,31.6,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2017,32.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2017,24.7,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2018,25.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2018,26.5,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2018,26.1,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2018,27.2,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15+,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2018,30.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,FEMALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2018,30.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,BOTHSEX
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2018,31.4,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",15-24,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2018,24,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,MALE
"Employed population below international poverty line, by sex and age (%)",Landlocked developing countries (LLDCs),2018,24.9,"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",25+,BOTHSEX
